time, q0, q1, q2, q3, wx, wy, wz
6424.697509, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6432.033040, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6438.583018, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6445.460096, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6452.337173, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6459.214251, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6465.049841, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6471.188973, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6478.227060, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6485.738095, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6491.078789, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6497.288077, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6504.940082, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6511.165539, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6518.039081, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6525.303393, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6531.140358, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6537.477210, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6544.702780, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6551.928349, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6557.570543, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6563.793178, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6571.128706, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6577.678686, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6584.555763, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6591.432839, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6598.309916, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6604.145507, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6610.284638, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6617.322725, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6624.833760, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6630.174455, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6636.383744, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6644.035748, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6650.261205, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6657.134746, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6664.399057, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6670.236025, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6676.572877, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6683.798445, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6691.024012, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6696.666211, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6702.888847, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6710.224371, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6716.774354, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6723.651430, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6730.528506, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6737.405581, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6743.241173, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6749.380303, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6756.418390, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6763.929424, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6769.270120, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6775.479409, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6783.131413, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6789.356870, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6796.230411, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6803.494722, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6809.331690, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6815.668543, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6822.894110, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6830.119676, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6835.761876, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6841.984513, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
6849.320036, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, -0.000000, 0.000000
6855.870020, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, -0.000000, 0.000000
